T;P
0.010006832855944562;0.0
0.010006837103095698;0.0
0.010006841350246834;0.0
0.01000684559739797;0.0
0.010006849844549108;0.0
0.010006854091700244;0.0
0.01000685833885138;0.0
0.010006862586002516;0.0
0.010006866833153652;0.0
0.010006871080304788;0.0
0.010006875327455925;0.0
0.010006879574607061;0.0
0.010006883821758197;0.0
0.010006888068909333;0.0
0.01000689231606047;0.0
0.010006896563211605;0.0
0.010006900810362743;0.0
0.010006905057513879;0.0
0.010006909304665015;3.4032896245259674e-25
0.010006913551816151;5.4325095314609596e-24
0.010006917798967287;1.8579745258293796e-23
0.010006922046118423;3.4709571049762376e-23
0.01000692629326956;7.237129523387505e-23
0.010006930540420697;1.0098373501548637e-22
0.010006934787571833;1.142319405800483e-22
0.010006939034722969;1.1884381203961358e-22
0.010006943281874105;1.0048550029746656e-22
0.01000694752902524;1.2088162650434388e-22
0.010006951776176378;1.0655219810666436e-22
0.010006956023327514;1.1208717445130277e-22
0.01000696027047865;1.2736261537682363e-22
0.010006964517629786;1.1314273898681575e-22
0.010006968764780922;1.1059103198330688e-22
0.010006973011932058;1.0781286425167043e-22
0.010006977259083196;1.0074044970528514e-22
0.010006981506234332;1.0220824577516563e-22
0.010006985753385468;9.554075850969066e-23
0.010006990000536604;8.936017689116832e-23
0.01000699424768774;9.491538854836635e-23
0.010006998494838876;9.806433580871703e-23
0.010007002741990014;8.488981976289294e-23
0.01000700698914115;9.2260481758364e-23
0.010007011236292286;1.0148978820391929e-22
0.010007015483443422;9.843385568621748e-23
0.010007019730594558;8.769041437910833e-23
0.010007023977745694;9.284144931879539e-23
0.010007028224896831;9.230401087829857e-23
0.010007032472047967;8.709224829058177e-23
0.010007036719199103;9.276365525501544e-23
0.01000704096635024;7.606198834301654e-23
0.010007045213501375;8.02241532385503e-23
0.010007049460652511;9.41256498122094e-23
0.01000705370780365;8.481286435854108e-23
0.010007057954954785;7.807937551403275e-23
0.010007062202105921;9.217294700971951e-23
0.010007066449257057;8.381132858633141e-23
0.010007070696408193;7.844582528561892e-23
0.010007074943559329;7.186951231219035e-23
0.010007079190710467;6.570444474423024e-23
0.010007083437861603;7.029933022545447e-23
0.010007087685012739;6.797243446506998e-23
0.010007091932163875;7.175316656884993e-23
0.01000709617931501;7.481765342270362e-23
0.010007100426466147;6.613482657860353e-23
0.010007104673617285;7.085288987925517e-23
0.01000710892076842;6.981312601065136e-23
0.010007113167919557;7.113023899593578e-23
0.010007117415070692;6.135491258362103e-23
0.010007121662221828;6.631967635088054e-23
0.010007125909372964;6.398376848027995e-23
0.010007130156524102;6.38170427083222e-23
0.010007134403675238;7.282826983264605e-23
0.010007138650826374;5.880250809210484e-23
0.01000714289797751;6.062922795595962e-23
0.010007147145128646;6.113133195905134e-23
0.010007151392279782;6.844766548582952e-23
0.01000715563943092;5.682519700450889e-23
0.010007159886582056;6.462086961515357e-23
0.010007164133733192;6.190121385684014e-23
0.010007168380884328;4.851876549075738e-23
0.010007172628035464;5.974129618074094e-23
0.0100071768751866;5.798848413178079e-23
0.010007181122337738;5.549127159748626e-23
0.010007185369488874;5.817248803437113e-23
0.01000718961664001;5.374287356819532e-23
0.010007193863791146;5.1602470840567107e-23
0.010007198110942282;4.713303740329772e-23
0.010007202358093418;5.877161197898374e-23
0.010007206605244555;5.897670717215057e-23
0.010007210852395691;4.72655319429903e-23
0.010007215099546827;4.4214448380888094e-23
0.010007219346697963;5.316200036771629e-23
0.0100072235938491;4.776752619291627e-23
0.010007227841000235;5.0851091586025624e-23
0.010007232088151373;4.140014939703395e-23
0.010007236335302509;4.275114400195164e-23
0.010007240582453645;4.626415301259053e-23
0.010007244829604781;4.157340202649972e-23
0.010007249076755917;4.2875778956311653e-23
0.010007253323907053;3.9475576516008864e-23
0.01000725757105819;4.7201808357006185e-23
0.010007261818209327;4.1510446363463264e-23
0.010007266065360463;4.2491522213685986e-23
0.010007270312511599;4.0727164039961766e-23
